Ɂ,Ɂ
l̓{1},l{1}ʼ
{2} m̓{1},m{1}ʼ{2} 
ʔm,ʔm 
n̓{1},n{1}ʼ{2} 
ʔn,ʔn
ʔw,ʔw
w̓{1},w{1}ʼ{2}
ʔ{1}y{2},ʔ{1}j{2}
y̓{1},ʼ{2}j{1}
ʔi,ʔi
?{1}\u2071{2},ʔ{1}\u2071{2}
æ,æ
æː,æː
b,b
d,d
e,e
eː,eː
ɛ,ɛ
ɡ,ɡ
ɡʷ,ɡʷ
h,h
ɬ,ɬ
i,i
iː,iː
ʒ{1},ʣ{1}
k,k
kʰ,kʰ
qʰ,qʰ
q,q
k̓{1},k{1}ʼ{2}
ʔk,ʔk
ʔq,ʔq
ʔqʰ,ʔqʰ
q̓{1},q{1}ʼ{2}
kʷ,kʷ
kʷʰ,kʷʰ
ʔkʷ,ʔkʷ
ʔkʷʰ,ʔkʷʰ
k̓{1}ʷ{2},k{1}ʷ{2}ʼ{3}
ʔɡʷ,ʔɡʷ
l,l
m,m
n,n
oː,oː
p,p
pʰ,pʰ
ʔpʰ,ʔpʰ
ʔp,ʔp
p̓{1},p{1}ʼ{2}
ʔb,ʔb
s,s
t,t
tʰ,tʰ
ʔt,ʔt
ʔtʰ,ʔtʰ
t̓{1},t{1}ʼ{2}
ʔd,ʔd
ʔ{1}ƛ{2},ʔ{1}t{2}ɬ{3}
ƛ̓{1},t{1}ɬ{2}ʼ{3}
c{1}ʰ{2},ʦ{1}ʰ{2}
c{1},ʦ{1}
ʔ{1}c{2},ʔ{1}ʦ{2}
c̓{1},ʦ{1}ʼ{2}
ʔ{1}c{2}ʰ{3},ʔ{1}ʦ{2}ʰ{3}
ω{1},ʊ̞{1}
uː,uː
w,w
x,x
x̣{1},χ{1}
xʷ,xʷ
y{1},j{2}